subject,condition,accuracy,answer_rt_median,answer_rt_mean,confidence_mean,confidence_rt_median,auc,n_valid,n_confidence
202511211610,zero_gravity,0.7777777777777778,1266.132,1360.7644166666666,6.083333333333333,832.4529,0.7879464285714286,36,36
202511211621,gravity,0.8571428571428571,1516.704,1495.432777142857,5.6,900.0098,0.5833333333333333,35,35
202511211621,zero_gravity,0.6857142857142857,1130.23,1263.2220457142855,5.085714285714285,999.3267,0.7708333333333334,35,35
202511241029,gravity,0.59375,1490.9625,1631.312740625,6.0,591.36695,,32,32
202511241029,zero_gravity,0.6,1166.681,1204.5557857142858,6.0,416.2861,,35,35
202511241622,gravity,0.6,1216.472,1346.3319771428573,6.9714285714285715,399.3777,0.47619047619047616,35,35
202511241622,zero_gravity,0.7777777777777778,1015.9265,1103.4454138888889,6.805555555555555,383.1631,0.546875,36,36
202511241649,gravity,0.4857142857142857,1332.73,1476.3132485714284,6.942857142857143,432.8501,0.49836601307189543,35,35
202511241649,zero_gravity,0.6388888888888888,1107.9724999999999,1174.9878555555556,7.0,383.33595,,36,36
202511250951,gravity,0.8888888888888888,858.05245,932.7174638888888,5.972222222222222,699.4630500000001,0.484375,36,36
202511250951,zero_gravity,0.8,783.3315,906.7434999999999,5.942857142857143,331.8984,0.6428571428571428,35,35
202511250957,gravity,0.8888888888888888,1008.2608499999999,1029.3308972222223,4.942857142857143,1066.161,0.6088709677419355,36,35
202511250957,zero_gravity,0.6944444444444444,1066.348,1255.1160166666666,4.861111111111111,1132.8539999999998,0.6618181818181819,36,36
202511251431,gravity,0.8709677419354839,1632.742,1650.2444322580648,6.366666666666666,1182.6185,0.5802469135802469,31,30
202511251431,zero_gravity,0.5454545454545454,1816.198,1895.7738181818181,5.21875,1574.6689999999999,0.6176470588235294,33,32
202511251439,gravity,0.6111111111111112,649.38795,756.27315,6.0,583.6275499999999,,36,36
202511251439,zero_gravity,0.5277777777777778,941.9911999999999,939.0683388888889,6.0,574.13195,,36,36
202511251659,gravity,0.5882352941176471,1474.496,1577.6875852941175,3.911764705882353,849.4445499999999,0.5125,34,34
202511251659,zero_gravity,0.5555555555555556,1274.4850000000001,1299.9309,3.888888888888889,724.10275,0.50625,36,36
202511260959,gravity,0.4,1084.03,1200.5528742857143,5.0588235294117645,947.99305,0.5892857142857143,35,34
202511260959,zero_gravity,0.3611111111111111,1007.86985,1094.1919583333333,3.888888888888889,732.41025,0.4180602006688964,36,36
202511261442,gravity,0.6666666666666666,816.6325999999999,1065.0176722222225,4.857142857142857,849.334,0.4583333333333333,36,35
202511261442,zero_gravity,0.5,882.87855,1013.8054638888888,5.0,500.0397,,36,36
